filename,classID
cb_uvex4\SDSSJ092601.96-002156.4_15267-59308-0497_4570529044.dat,STAR
wd\SDSSJ103823.60+440203.7_15351-59359-0115_4360717509.dat,WDA
cb_gaiagalex\SDSSJ080723.20+254554.0_15024-59202-0170_4554407990.dat,STAR
wd\SDSSJ081129.19+221211.4_15054-59232-0497_4546465096.dat,WDA
wd\SDSSJ144016.43+033803.3_15306-59289-0334_4600807973.dat,WDA
cb_uvex2\SDSSJ142013.89+354324.7_15305-59283-0461_4603717784.dat,EXGAL
wd\SDSSJ144628.04+345941.2_15327-59326-0487_4603912110.dat,WDA
cb_gaiagalex\SDSSJ072601.62+234415.6_15285-59304-0395_4543177870.dat,STAR
cb_uvex2\SDSSJ225848.87+191902.8_15028-59166-0079_4383237933.dat,WDQ
wd\SDSSJ133025.10+393029.7_15299-59293-0203_4602943772.dat,WDA
cb_uvex1\SDSSJ085258.55-001345.6_15166-59251-0389_4492112351.dat,WDA
wd\SDSSJ081255.12+253246.1_15053-59230-0259_4554513043.dat,WDA
wd\SDSSJ133552.10+484315.1_15297-59291-0115_4351664428.dat,WDA
cb_uvex2\SDSSJ073504.17+292312.1_15016-59193-0029_4551096015.dat,STAR
wd\SDSSJ080132.45+234112.9_15051-59204-0469_4554298869.dat,WDA
wd\SDSSJ092834.57-005121.3_15267-59308-0399_4570531936.dat,WDA
cb_uvex1\SDSSJ005259.69+852532.6_15194-59243-0113_4326215370.dat,sdX
cb_gaiagalex\SDSSJ073601.04+205829.3_15286-59276-0371_4543076092.dat,STAR
cb_uvex2\SDSSJ173947.94+033831.0_15342-59328-0388_5178379336.dat,WDC
wd\SDSSJ192058.65+221824.2_15334-59309-0048_5295588584.dat,WDA
wd\SDSSJ003958.47+250937.4_15006-59227-0316_4400904930.dat,WDA
cb_uvex2\SDSSJ000258.73+261429.5_15004-59191-0231_4400710438.dat,STAR
cb_uvex2\SDSSJ080621.44+333832.3_15023-59167-0105_4555217470.dat,WDA
wd\SDSSJ085338.58+520038.7_15174-59232-0390_4360808461.dat,WDA
wd\SDSSJ223445.17+392019.0_15082-59215-0314_4397034133.dat,WDA
wd\SDSSJ071719.25-244138.0_15116-59220-0387_4457263453.dat,WDA
wd\SDSSJ115115.61+560015.6_15236-59255-0485_4359791692.dat,WDA
cb_gaiagalex\SDSSJ073428.14+175457.7_15073-59212-0497_4542132407.dat,STAR
cb_gaiagalex\SDSSJ051705.68+491642.0_15121-59206-0357_4342104871.dat,WD+MS
wd\SDSSJ134225.73+282356.1_15301-59338-0455_4602365151.dat,WDA
cb_uvex1\SDSSJ234844.90+002942.0_15034-59192-0146_4382232047.dat,WD+MS
cb_uvex2\SDSSJ061501.89+413600.7_15288-59294-0069_4552851799.dat,STAR
wd\SDSSJ163411.76+672743.2_15368-59359-0339_4347403436.dat,WDA
cb_gaiagalex\SDSSJ073953.40+221204.1_15286-59276-0167_4543230901.dat,STAR
wd\SDSSJ055538.40+272701.1_15083-59218-0376_4512191531.dat,WDA
cb_uvex2\SDSSJ012321.07-004549.9_15009-59164-0257_4375115435.dat,WD+MS
cb_uvex2\SDSSJ091052.13+054544.4_15262-59308-0121_4592751189.dat,WD+MS
cb_uvex1\SDSSJ143857.87+041654.0_15306-59289-0136_4600817878.dat,WDA
cb_uvex2\SDSSJ085936.52+530727.7_15174-59232-0167_4360779595.dat,WDB
wd\SDSSJ103420.23+373913.7_15291-59350-0127_4597565355.dat,WDC
cb_gaiagalex\SDSSJ110705.12+404357.2_15352-59358-0088_4597849935.dat,STAR
cb_uvex1\SDSSJ081920.12+355708.0_15055-59230-0439_4555503793.dat,STAR
