filename,classID,sample_idx,cluster
wd\SDSSJ134034.45+141450.6_15298-59292-0293_4599915084.dat,WDA,1,0
wd\SDSSJ015939.33-030053.3_15045-59202-0436_4375869220.dat,WDA,4,0
wd\SDSSJ113752.30+245147.5_15294-59343-0035_4595988869.dat,WDA,13,0
wd\SDSSJ084326.92+000219.2_15164-59200-0049_4544989307.dat,WDA,40,0
wd\SDSSJ112319.64+445045.0_15234-59337-0204_4360530191.dat,WDA,70,0
wd\SDSSJ175353.62+000850.2_15345-59327-0075_5177531947.dat,WDA,123,0
wd\SDSSJ142947.63+075408.1_15202-59309-0384_4600957512.dat,WDA,126,0
wd\SDSSJ122501.12+290356.7_15249-59265-0279_4601890095.dat,WDA,171,0
wd\SDSSJ074311.68+311438.1_15018-59221-0116_4551587430.dat,WDA,187,0
wd\SDSSJ024449.27-002737.6_15015-59166-0098_4376207291.dat,WDA,200,0
wd\SDSSJ134034.45+141450.6_15298-59292-0293_4599915084.dat,WDA,210,0
wd\SDSSJ113341.30+240221.6_15294-59314-0302_4595983904.dat,WDA,231,0
wd\SDSSJ000745.04+572413.4_15078-59188-0367_4291545951.dat,WDA,251,0
wd\SDSSJ011954.05-011641.8_15009-59218-0327_4375037176.dat,WDA,303,0
wd\SDSSJ134445.61+271137.1_15301-59338-0373_4602331028.dat,WDA,307,0
wd\SDSSJ020609.70-025943.1_15046-59200-0077_4375877138.dat,WDA,327,0
wd\SDSSJ113233.92+232857.0_15294-59314-0369_4595982692.dat,WDA,328,0
wd\SDSSJ113341.30+240221.6_15294-59291-0142_4595983904.dat,WDA,338,0
wd\SDSSJ081705.69+252449.7_15053-59230-0450_4554522668.dat,WDA,386,0
wd\SDSSJ113341.30+240221.6_15294-59343-0306_4595983904.dat,WDA,388,0
wd\SDSSJ085252.81+514246.3_15174-59232-0440_4360809422.dat,WDA,449,0
wd\SDSSJ091047.40+025817.2_15263-59309-0482_4592586735.dat,WDA,474,0
wd\SDSSJ015900.43-015221.4_15045-59202-0061_4375873228.dat,WDA,487,0
wd\SDSSJ023124.78+590035.8_15218-59245-0402_4318375751.dat,WDA,494,0
wd\SDSSJ080409.90+355657.5_15022-59165-0195_4555285533.dat,WDA,628,0
wd\SDSSJ080356.81+342133.0_15022-59252-0055_4555229174.dat,WDA,738,0
wd\SDSSJ124101.37+623854.9_15239-59293-0064_4351337181.dat,WDA,774,0
wd\SDSSJ085252.81+514246.3_15174-59252-0422_4360809422.dat,WDA,795,0
wd\SDSSJ015142.82+011102.1_15013-59165-0165_4401491976.dat,WDA,814,0
wd\SDSSJ103923.55+354933.1_15291-59350-0424_4597575549.dat,WDA,853,0
wd\SDSSJ085000.31-010631.2_15164-59200-0272_4492078078.dat,WDA,891,0
wd\SDSSJ221613.58+010455.9_15029-59169-0464_4381161380.dat,WDA,904,0
wd\SDSSJ045931.93+231752.7_15072-59216-0452_4500651994.dat,WDA,912,0
wd\SDSSJ075832.56+370946.1_15020-59200-0070_4555282818.dat,WDA,943,0
wd\SDSSJ142002.02+361551.4_15305-59283-0215_4603719444.dat,WDA,1010,0
wd\SDSSJ151848.80+564036.2_15307-59344-0035_4346728741.dat,WDA,1016,0
wd\SDSSJ082742.61+284549.7_15058-59195-0219_4555034665.dat,WDA,1043,0
wd\SDSSJ132011.41+471221.0_15296-59346-0392_4351701279.dat,WDA,1054,0
wd\SDSSJ134419.68+385017.7_15299-59311-0016_4602959001.dat,WDA,1073,0
