filename,classID,sample_idx,cluster
wd\SDSSJ074438.94+365424.1_15017-59278-0337_4553873306.dat,WDA,0,0
wd\SDSSJ134034.45+141450.6_15298-59292-0293_4599915084.dat,WDA,1,0
wd\SDSSJ015900.43-015221.4_15045-59169-0129_4375873228.dat,WDA,2,0
wd\SDSSJ064446.03-002624.1_15281-59325-0423_4473205536.dat,WDA,3,0
wd\SDSSJ015939.33-030053.3_15045-59202-0436_4375869220.dat,WDA,4,0
wd\SDSSJ080659.13+341502.8_15023-59167-0121_4555231215.dat,WDA,5,0
wd\SDSSJ090610.60+012223.9_15155-59256-0426_4592524243.dat,WDA,6,0
wd\SDSSJ160128.13+284504.3_15274-59304-0345_5188198971.dat,WDA,7,0
wd\SDSSJ085122.29+010714.7_15146-59206-0141_4545140142.dat,WDA,8,0
wd\SDSSJ012352.79+143723.0_15010-59199-0393_4401099219.dat,WDA,9,0
wd\SDSSJ130509.47+573102.1_15198-59269-0347_4351321133.dat,WDA,10,0
wd\SDSSJ174142.16-002154.9_15343-59326-0180_4879042847.dat,WDA,11,0
cb_uvex2\SDSSJ163210.78+385434.8_15309-59350-0426_5191563664.dat,WDA,12,0
wd\SDSSJ113752.30+245147.5_15294-59343-0035_4595988869.dat,WDA,13,0
wd\SDSSJ180237.76+134514.0_15346-59300-0490_5208937339.dat,WDA,14,0
cb_uvex2\SDSSJ134820.20+273220.4_15301-59314-0216_4603038886.dat,WDA,15,0
cb_uvex2\SDSSJ083255.51+045210.6_15256-59280-0017_4545065219.dat,WDA,16,0
wd\SDSSJ015657.87+004037.8_15013-59165-0403_4401495932.dat,WDA,17,0
cb_uvex2\SDSSJ075300.20+363442.3_15020-59200-0197_4555246446.dat,WDA,18,0
wd\SDSSJ063124.64+040446.9_15114-59191-0421_4524678622.dat,WDA,19,0
wd\SDSSJ155708.47+282335.8_15274-59329-0024_5188190884.dat,WDA,20,0
wd\SDSSJ090649.80+523410.8_15174-59252-0044_4360787815.dat,WDA,21,0
cb_uvex2\SDSSJ073953.16+204900.4_15195-59271-0233_4543082265.dat,WDA,22,0
