filename,classID,sample_idx,cluster
wd\SDSSJ134034.45+141450.6_15298-59292-0293_4599915084.dat,WDA,1,1
wd\SDSSJ064446.03-002624.1_15281-59325-0423_4473205536.dat,WDA,3,1
wd\SDSSJ015939.33-030053.3_15045-59202-0436_4375869220.dat,WDA,4,1
wd\SDSSJ090610.60+012223.9_15155-59256-0426_4592524243.dat,WDA,6,1
wd\SDSSJ113752.30+245147.5_15294-59343-0035_4595988869.dat,WDA,13,1
cb_uvex2\SDSSJ075300.20+363442.3_15020-59200-0197_4555246446.dat,WDA,18,1
wd\SDSSJ063124.64+040446.9_15114-59191-0421_4524678622.dat,WDA,19,1
wd\SDSSJ080409.90+355657.5_15022-59231-0450_4555285533.dat,WDA,25,1
cb_uvex2\SDSSJ172932.96-134814.9_15341-59355-0077_4865282580.dat,WDA,31,1
wd\SDSSJ075656.65+295554.0_15019-59164-0022_4554613406.dat,WDA,41,1
wd\SDSSJ092838.11+035839.3_15266-59306-0075_4592708135.dat,WDA,44,1
wd\SDSSJ015142.82+011102.1_15013-59197-0041_4401491976.dat,WDA,52,1
cb_uvex2\SDSSJ084519.60+012525.6_15143-59205-0153_4545141281.dat,WDA,81,1
wd\SDSSJ051141.50-045945.4_15102-59210-0399_4416869990.dat,WDA,83,1
wd\SDSSJ061822.82+105548.4_15101-59192-0130_4527364817.dat,WDA,89,1
wd\SDSSJ045517.90+264853.0_15120-59210-0071_4509134406.dat,WDA,91,1
wd\SDSSJ113306.34+570357.3_15235-59254-0327_4359802113.dat,WDA,95,1
wd\SDSSJ040420.43+502459.6_15107-59212-0486_4332136904.dat,WDA,96,1
wd\SDSSJ083022.89+272244.3_15058-59195-0286_4555024458.dat,WDA,102,1
wd\SDSSJ212624.32-012450.8_15027-59159-0420_4367776213.dat,WDA,107,1
cb_uvex2\SDSSJ163113.46+444223.6_15308-59312-0441_4346120106.dat,WDA,108,1
wd\SDSSJ065502.11-051635.4_15282-59275-0192_4471950390.dat,WDA,121,1
wd\SDSSJ074405.76+384258.8_15017-59250-0152_4554152054.dat,WDA,122,1
wd\SDSSJ175353.62+000850.2_15345-59327-0075_5177531947.dat,WDA,123,1
wd\SDSSJ142947.63+075408.1_15202-59309-0384_4600957512.dat,WDA,126,1
wd\SDSSJ172733.15-121134.0_15341-59355-0376_4865819403.dat,WDA,128,1
wd\SDSSJ134520.12+505632.5_15300-59351-0300_4351201052.dat,WDA,136,1
wd\SDSSJ223433.65+405549.7_15082-59215-0342_4397103657.dat,WDA,137,1
wd\SDSSJ091903.20+021837.5_15264-59310-0374_4592632456.dat,WDA,139,1
cb_uvex2\SDSSJ133439.94+130457.4_15298-59292-0381_4599902810.dat,WDA,146,1
wd\SDSSJ074321.68+200828.1_15195-59238-0061_4543097596.dat,WDA,150,1
cb_uvex2\SDSSJ093342.20+015346.3_15269-59318-0302_4592932167.dat,WDA,151,1
wd\SDSSJ113652.31+591458.4_15235-59315-0214_4359633530.dat,WDA,153,1
wd\SDSSJ073336.67+175354.9_15073-59186-0468_4542131831.dat,WDA,158,1
wd\SDSSJ130757.35+572720.3_15198-59273-0216_4351320799.dat,WDA,159,1
cb_uvex2\SDSSJ212940.44-001948.0_15027-59159-0318_4367818598.dat,WDA,160,1
wd\SDSSJ132024.11-124341.6_15199-59279-0196_4588980482.dat,WDA,162,1
wd\SDSSJ093955.45+040641.5_15270-59284-0232_4592988582.dat,WDA,163,1
wd\SDSSJ061804.03+271001.1_15085-59216-0050_4547383102.dat,WDA,164,1
wd\SDSSJ071656.00-241200.4_15116-59212-0219_4457344469.dat,WDA,167,1
wd\SDSSJ165705.14+860044.3_15273-59360-0015_4348062936.dat,WDA,182,1
wd\SDSSJ150417.07+553439.1_15307-59344-0471_4349140341.dat,WDA,185,1
wd\SDSSJ074311.68+311438.1_15018-59221-0116_4551587430.dat,WDA,187,1
wd\SDSSJ062654.27+160130.5_15228-59269-0185_4535616180.dat,WDA,189,1
wd\SDSSJ144248.24+400913.9_15357-59336-0177_4350639621.dat,WDA,191,1
wd\SDSSJ073627.04+180559.6_15073-59186-0451_4542210779.dat,WDA,196,1
wd\SDSSJ091203.97+033629.7_15263-59309-0442_4592595094.dat,WDA,199,1
wd\SDSSJ024449.27-002737.6_15015-59166-0098_4376207291.dat,WDA,200,1
wd\SDSSJ052012.44+474230.5_15121-59212-0282_4342746122.dat,WDA,204,1
wd\SDSSJ134034.45+141450.6_15298-59292-0293_4599915084.dat,WDA,210,1
wd\SDSSJ073748.56+381953.4_15017-59220-0100_4553882711.dat,WDA,211,1
wd\SDSSJ120614.24+571058.6_15236-59351-0275_4351540397.dat,WDA,214,1
wd\SDSSJ121258.38+502754.3_15237-59256-0499_4351937625.dat,WDA,219,1
wd\SDSSJ160301.37+265442.3_15274-59304-0251_5188056111.dat,WDA,224,1
wd\SDSSJ051352.32-052252.3_15102-59210-0307_4416835975.dat,WDA,225,1
wd\SDSSJ065559.94-063445.2_15282-59293-0336_4471859306.dat,WDA,240,1
wd\SDSSJ112241.94+442853.8_15234-59309-0012_4597896768.dat,WDA,242,1
wd\SDSSJ051630.77+501639.7_15121-59212-0250_4342047241.dat,WDA,245,1
wd\SDSSJ044220.46+454309.2_15224-59238-0147_4337529082.dat,WDA,246,1
wd\SDSSJ014202.16+002458.4_15012-59166-0447_4399911982.dat,WDA,249,1
cb_uvex2\SDSSJ051005.76+492323.9_15121-59206-0469_4342025874.dat,WDA,254,1
wd\SDSSJ051252.44+485108.1_15121-59206-0223_4342078773.dat,WDA,260,1
wd\SDSSJ152101.46+565718.3_15307-59344-0064_4346726021.dat,WDA,270,1
wd\SDSSJ225847.55+185153.3_15028-59197-0310_4383231629.dat,WDA,271,1
cb_uvex2\SDSSJ074003.94+374628.6_15190-59273-0342_4553878696.dat,WDA,277,1
wd\SDSSJ112424.88+264742.1_15293-59340-0470_4597233985.dat,WDA,298,1
wd\SDSSJ152611.83+055040.9_15272-59335-0330_5170303216.dat,WDA,302,1
cb_uvex2\SDSSJ090832.05+045019.3_15262-59308-0187_4592602372.dat,WDA,309,1
wd\SDSSJ074151.18+291616.8_15016-59276-0304_4551112944.dat,WDA,312,1
wd\SDSSJ113233.92+232857.0_15294-59314-0369_4595982692.dat,WDA,328,1
wd\SDSSJ081509.14+392912.3_15026-59257-0126_4555538280.dat,WDA,352,1
cb_uvex2\SDSSJ160647.87+520707.4_15330-59324-0468_4346414434.dat,WDA,355,1
wd\SDSSJ052155.35-033608.2_15110-59215-0089_4416987500.dat,WDA,356,1
wd\SDSSJ065256.38+002125.3_15281-59273-0010_4524245996.dat,WDA,358,1
wd\SDSSJ022635.71+531712.1_15217-59238-0270_4302007619.dat,WDA,360,1
wd\SDSSJ140356.96+623416.1_15303-59340-0207_4349284271.dat,WDA,364,1
wd\SDSSJ081310.96+392250.5_15026-59169-0045_4555536134.dat,WDA,366,1
wd\SDSSJ071449.94-241557.9_15116-59218-0471_4457222074.dat,WDA,367,1
wd\SDSSJ180942.22+132349.8_15346-59300-0156_5209094519.dat,WDA,370,1
wd\SDSSJ031140.37+525759.9_15221-59245-0010_4306646950.dat,WDA,372,1
wd\SDSSJ061652.70+101818.5_15101-59192-0490_4526649578.dat,WDA,379,1
cb_gaiagalex\SDSSJ162310.49+425831.1_15308-59351-0436_4346147130.dat,WDA,384,1
cb_uvex2\SDSSJ132915.70+480655.1_15297-59347-0065_4351692072.dat,WDA,385,1
wd\SDSSJ081705.69+252449.7_15053-59230-0450_4554522668.dat,WDA,386,1
cb_uvex2\SDSSJ143029.84+330506.7_15325-59347-0136_4603782602.dat,WDA,387,1
wd\SDSSJ073142.30-070348.8_15231-59270-0362_4477481995.dat,WDA,392,1
wd\SDSSJ052924.32-012835.3_15075-59216-0363_4417260718.dat,WDA,393,1
cb_uvex2\SDSSJ161600.51+515319.1_15330-59344-0265_4346385870.dat,WDA,395,1
wd\SDSSJ072503.25-250656.3_15116-59212-0256_4431874135.dat,WDA,397,1
wd\SDSSJ055143.69+262342.7_15083-59218-0197_4505424064.dat,WDA,406,1
wd\SDSSJ075516.05+372416.6_15020-59200-0159_4555263588.dat,WDA,408,1
wd\SDSSJ112309.89+584406.6_15235-59315-0025_4359665011.dat,WDA,417,1
cb_uvex2\SDSSJ074505.47+302730.5_15016-59276-0018_4551564985.dat,WDA,422,1
wd\SDSSJ074816.60+292320.9_15019-59252-0424_4554575737.dat,WDA,425,1
wd\SDSSJ062448.49+000443.3_15139-59205-0271_4522182525.dat,WDA,432,1
wd\SDSSJ134526.92-050201.6_15200-59246-0168_4589588465.dat,WDA,433,1
wd\SDSSJ081532.19+215840.3_15054-59232-0443_4546473790.dat,WDA,436,1
wd\SDSSJ071449.94-241557.9_15116-59218-0471_4457222074.dat,WDA,440,1
wd\SDSSJ012342.63+002010.2_15011-59203-0475_4399875195.dat,WDA,443,1
wd\SDSSJ090609.91+041931.3_15262-59308-0462_4592580180.dat,WDA,448,1
wd\SDSSJ085252.81+514246.3_15174-59232-0440_4360809422.dat,WDA,449,1
wd\SDSSJ223710.10+394048.5_15082-59215-0131_4397039831.dat,WDA,458,1
wd\SDSSJ071652.33-255659.6_15116-59212-0497_4430087992.dat,WDA,462,1
wd\SDSSJ140356.96+623416.1_15303-59340-0207_4349284271.dat,WDA,465,1
wd\SDSSJ001046.52+582805.4_15078-59188-0350_4293337513.dat,WDA,472,1
wd\SDSSJ162131.90+635118.2_15347-59301-0381_4347450245.dat,WDA,482,1
cb_uvex2\SDSSJ164901.35+341449.9_15310-59339-0400_5189660954.dat,WDA,483,1
wd\SDSSJ015900.43-015221.4_15045-59202-0061_4375873228.dat,WDA,487,1
wd\SDSSJ084445.42+024852.4_15165-59202-0086_4545194990.dat,WDA,490,1
wd\SDSSJ072719.51-083359.5_15231-59270-0236_4477091512.dat,WDA,491,1
wd\SDSSJ074244.78-114927.0_15232-59265-0058_4476682247.dat,WDA,492,1
wd\SDSSJ023124.78+590035.8_15218-59245-0402_4318375751.dat,WDA,494,1
wd\SDSSJ134326.28-045346.8_15200-59324-0060_4589588061.dat,WDA,512,1
wd\SDSSJ091203.97+033629.7_15262-59308-0340_4592595094.dat,WDA,516,1
cb_uvex2\SDSSJ165712.59+352616.7_15310-59315-0444_5189732395.dat,WDA,517,1
wd\SDSSJ081829.43+245133.9_15053-59230-0076_4554545019.dat,WDA,523,1
wd\SDSSJ013518.27-000814.0_15012-59220-0074_4375144112.dat,WDA,525,1
cb_uvex2\SDSSJ085206.20-013952.6_15164-59200-0351_4492063878.dat,WDA,526,1
wd\SDSSJ112820.20+252941.4_15294-59291-0491_4595923691.dat,WDA,528,1
wd\SDSSJ051727.71-051523.6_15110-59215-0463_4416877560.dat,WDA,539,1
cb_uvex2\SDSSJ042120.77+360000.4_15223-59265-0491_4515424489.dat,WDA,540,1
wd\SDSSJ064625.23+002715.4_15281-59273-0235_4524095337.dat,WDA,550,1
cb_uvex4\SDSSJ092609.70-003134.2_15267-59308-0436_4570528834.dat,WDA,551,1
wd\SDSSJ142646.85+091656.7_15202-59309-0213_4600695326.dat,WDA,552,1
cb_uvex2\SDSSJ025202.46-010515.9_15049-59193-0498_4376210625.dat,WDA,554,1
wd\SDSSJ181052.36+124026.2_15346-59307-0274_5209035391.dat,WDA,557,1
wd\SDSSJ052625.03-041255.0_15110-59215-0191_4417009028.dat,WDA,571,1
wd\SDSSJ075518.48+290421.8_15019-59199-0035_4554591207.dat,WDA,573,1
wd\SDSSJ074419.83+302202.9_15018-59164-0425_4551564230.dat,WDA,580,1
cb_uvex2\SDSSJ082753.83+282426.5_15058-59195-0278_4555033898.dat,WDA,588,1
wd\SDSSJ235602.65-000041.4_15035-59190-0398_4371194771.dat,WDA,591,1
wd\SDSSJ061822.82+105548.4_15101-59192-0130_4527364817.dat,WDA,595,1
wd\SDSSJ144633.47+415046.7_15357-59336-0378_4350700248.dat,WDA,605,1
wd\SDSSJ132040.43-133041.9_15199-59250-0168_4587784274.dat,WDA,608,1
wd\SDSSJ073524.12+162622.6_15073-59212-0245_4542153336.dat,WDA,609,1
cb_uvex2\SDSSJ085052.21+034443.8_15258-59291-0031_4545212787.dat,WDA,611,1
wd\SDSSJ084445.42+024852.4_15146-59226-0482_4545194990.dat,WDA,612,1
wd\SDSSJ093234.64+012402.1_15269-59280-0427_4592920928.dat,WDA,616,1
wd\SDSSJ063737.71+053210.7_15114-59208-0038_4525011192.dat,WDA,617,1
wd\SDSSJ080409.90+355657.5_15022-59165-0195_4555285533.dat,WDA,628,1
wd\SDSSJ065256.38+002125.3_15281-59325-0260_4524245996.dat,WDA,629,1
wd\SDSSJ000247.39+260817.4_15004-59191-0239_4400709236.dat,WDA,630,1
wd\SDSSJ180855.75+144534.2_15346-59300-0122_5259660679.dat,WDA,631,1
wd\SDSSJ081623.07+370919.9_15055-59230-0006_4555499700.dat,WDA,635,1
wd\SDSSJ174703.54+002608.1_15345-59327-0474_5177332777.dat,WDA,639,1
wd\SDSSJ052651.44+333250.5_15112-59238-0403_4513592886.dat,WDA,647,1
wd\SDSSJ081449.16+204943.8_15052-59229-0150_4546452116.dat,WDA,655,1
wd\SDSSJ051948.12+491553.5_15121-59212-0413_4342179678.dat,WDA,661,1
wd\SDSSJ103458.78+373016.0_15291-59350-0133_4597564691.dat,WDA,665,1
wd\SDSSJ081726.29+254736.7_15053-59230-0447_4554526059.dat,WDA,668,1
