filename,classID,sample_idx,cluster
wd\SDSSJ134034.45+141450.6_15298-59292-0293_4599915084.dat,WDA,1,0
wd\SDSSJ090610.60+012223.9_15155-59256-0426_4592524243.dat,WDA,6,0
wd\SDSSJ113752.30+245147.5_15294-59343-0035_4595988869.dat,WDA,13,0
cb_uvex2\SDSSJ172932.96-134814.9_15341-59355-0077_4865282580.dat,WDA,31,0
wd\SDSSJ084326.92+000219.2_15164-59200-0049_4544989307.dat,WDA,40,0
wd\SDSSJ003923.04+003534.7_15005-59193-0246_4399284904.dat,WDA,65,0
wd\SDSSJ112319.64+445045.0_15234-59337-0204_4360530191.dat,WDA,70,0
wd\SDSSJ224016.15+401330.8_15082-59215-0055_4397387703.dat,WDA,76,0
wd\SDSSJ073543.99+301516.4_15016-59146-0226_4551539592.dat,WDA,85,0
wd\SDSSJ025201.02+004544.4_15049-59193-0048_4401938778.dat,WDA,90,0
wd\SDSSJ083022.89+272244.3_15058-59195-0286_4555024458.dat,WDA,102,0
wd\SDSSJ175353.62+000850.2_15345-59327-0075_5177531947.dat,WDA,123,0
wd\SDSSJ142947.63+075408.1_15202-59309-0384_4600957512.dat,WDA,126,0
wd\SDSSJ023633.76-001012.7_15014-59191-0426_4376162108.dat,WDA,161,0
wd\SDSSJ122501.12+290356.7_15249-59265-0279_4601890095.dat,WDA,171,0
wd\SDSSJ073543.99+301516.4_15016-59276-0224_4551539592.dat,WDA,186,0
wd\SDSSJ134034.45+141450.6_15298-59292-0293_4599915084.dat,WDA,210,0
wd\SDSSJ104023.44+424351.7_15351-59359-0290_4597713679.dat,WDA,227,0
wd\SDSSJ113341.30+240221.6_15294-59314-0302_4595983904.dat,WDA,231,0
wd\SDSSJ000745.04+572413.4_15078-59188-0367_4291545951.dat,WDA,251,0
wd\SDSSJ011851.95-015813.3_15009-59164-0361_4375024882.dat,WDA,253,0
wd\SDSSJ141557.84+623046.4_15303-59280-0019_4349238045.dat,WDA,264,0
wd\SDSSJ011954.05-011641.8_15009-59218-0327_4375037176.dat,WDA,303,0
wd\SDSSJ134445.61+271137.1_15301-59338-0373_4602331028.dat,WDA,307,0
