filename,classID,sample_idx,cluster
wd\SDSSJ015900.43-015221.4_15045-59169-0129_4375873228.dat,WDA,2,0
wd\SDSSJ080659.13+341502.8_15023-59167-0121_4555231215.dat,WDA,5,0
wd\SDSSJ160128.13+284504.3_15274-59304-0345_5188198971.dat,WDA,7,0
wd\SDSSJ012352.79+143723.0_15010-59199-0393_4401099219.dat,WDA,9,0
wd\SDSSJ130509.47+573102.1_15198-59269-0347_4351321133.dat,WDA,10,0
cb_uvex2\SDSSJ163210.78+385434.8_15309-59350-0426_5191563664.dat,WDA,12,0
wd\SDSSJ180237.76+134514.0_15346-59300-0490_5208937339.dat,WDA,14,0
wd\SDSSJ015657.87+004037.8_15013-59165-0403_4401495932.dat,WDA,17,0
cb_uvex2\SDSSJ075300.20+363442.3_15020-59200-0197_4555246446.dat,WDA,18,0
wd\SDSSJ155708.47+282335.8_15274-59329-0024_5188190884.dat,WDA,20,0
cb_uvex2\SDSSJ073953.16+204900.4_15195-59271-0233_4543082265.dat,WDA,22,0
wd\SDSSJ020321.29-025749.1_15045-59169-0300_4375875479.dat,WDA,27,0
wd\SDSSJ073022.22+232852.0_15285-59276-0034_4543197670.dat,WDA,29,0
cb_uvex2\SDSSJ001056.26+264416.6_15004-59165-0099_4402834498.dat,WDA,30,0
wd\SDSSJ081537.27+213919.1_15054-59232-0406_4546471574.dat,WDA,33,0
wd\SDSSJ160534.09+275114.7_15274-59304-0150_5188074799.dat,WDA,37,0
wd\SDSSJ235314.82-001820.6_15035-59190-0470_4371193468.dat,WDA,38,0
cb_uvex2\SDSSJ004420.04+002125.6_15007-59187-0092_4399312093.dat,WDA,39,0
wd\SDSSJ084326.92+000219.2_15164-59200-0049_4544989307.dat,WDA,40,0
wd\SDSSJ090631.13+011527.6_15155-59256-0423_4592515003.dat,WDA,42,0
wd\SDSSJ113814.45+591722.2_15235-59254-0008_4359633361.dat,WDA,43,0
wd\SDSSJ112457.28+271741.8_15293-59312-0035_4597239969.dat,WDA,45,0
wd\SDSSJ055046.53+261219.9_15083-59218-0181_4505418921.dat,WDA,46,0
wd\SDSSJ134317.85-054536.2_15200-59305-0415_4589580198.dat,WDA,48,0
wd\SDSSJ062237.02+162340.1_15228-59269-0387_4535580138.dat,WDA,49,0
wd\SDSSJ113250.32+295949.2_15292-59339-0060_4597339069.dat,WDA,50,0
wd\SDSSJ072722.23+232817.2_15285-59276-0109_4543144419.dat,WDA,53,0
cb_uvex2\SDSSJ134454.43-064713.3_15200-59324-0361_4589320996.dat,WDA,54,0
wd\SDSSJ091942.34+021521.7_15264-59310-0330_4592637134.dat,WDA,55,0
wd\SDSSJ134424.43-051339.6_15200-59273-0125_4589586857.dat,WDA,56,0
wd\SDSSJ180645.31+124520.0_15346-59307-0354_5208891930.dat,WDA,57,0
wd\SDSSJ160650.37+275309.0_15274-59304-0038_5188074580.dat,WDA,61,0
wd\SDSSJ083916.62+013012.2_15255-59279-0255_4545001635.dat,WDA,62,0
cb_uvex2\SDSSJ133712.45+402159.4_15299-59293-0141_4602962213.dat,WDA,63,0
wd\SDSSJ003923.04+003534.7_15005-59193-0246_4399284904.dat,WDA,65,0
cb_uvex2\SDSSJ085032.59+023217.3_15165-59202-0368_4545158311.dat,WDA,66,0
wd\SDSSJ142826.27+091543.0_15202-59250-0161_4600995115.dat,WDA,67,0
wd\SDSSJ091855.54+025523.5_15263-59315-0282_4592672005.dat,WDA,68,0
wd\SDSSJ112319.64+445045.0_15234-59337-0204_4360530191.dat,WDA,70,0
wd\SDSSJ092236.05+034208.4_15264-59310-0278_4592682291.dat,WDA,71,0
wd\SDSSJ083514.29+012845.1_15143-59205-0039_4544962800.dat,WDA,72,0
wd\SDSSJ140924.12+625702.9_15303-59309-0122_4349244521.dat,WDA,75,0
wd\SDSSJ224016.15+401330.8_15082-59215-0055_4397387703.dat,WDA,76,0
wd\SDSSJ085318.22+002818.8_15166-59251-0484_4545162234.dat,WDA,77,0
wd\SDSSJ162611.44+665858.5_15368-59359-0349_4347422830.dat,WDA,78,0
wd\SDSSJ133140.46+145434.5_15298-59351-0027_4599898120.dat,WDA,79,0
cb_uvex2\SDSSJ013158.63-000753.9_15011-59203-0335_4375125237.dat,WDA,80,0
wd\SDSSJ074817.68+305013.2_15018-59280-0328_4554600870.dat,WDA,82,0
wd\SDSSJ012544.55+013618.0_15011-59203-0043_4399881636.dat,WDA,84,0
wd\SDSSJ073543.99+301516.4_15016-59146-0226_4551539592.dat,WDA,85,0
wd\SDSSJ232135.46+230951.2_15036-59188-0441_4384332363.dat,WDA,86,0
wd\SDSSJ063208.26-042131.7_15279-59302-0034_4471425336.dat,WDA,88,0
wd\SDSSJ025201.02+004544.4_15049-59193-0048_4401938778.dat,WDA,90,0
cb_uvex2\SDSSJ082053.46+392645.8_15026-59257-0098_4361419369.dat,WDA,93,0
wd\SDSSJ074803.71+300001.6_15019-59164-0143_4554582064.dat,WDA,94,0
wd\SDSSJ071744.79-251234.1_15116-59220-0409_4457242815.dat,WDA,98,0
cb_uvex2\SDSSJ081056.73+252736.1_15053-59230-0178_4554511125.dat,WDA,100,0
wd\SDSSJ143443.54+035727.7_15306-59347-0433_4600785796.dat,WDA,101,0
wd\SDSSJ055303.87+234251.7_15084-59215-0489_4505252870.dat,WDA,103,0
wd\SDSSJ132259.01-142033.8_15199-59355-0369_4587926858.dat,WDA,105,0
wd\SDSSJ084817.31+043006.2_15258-59291-0100_4545218417.dat,WDA,109,0
wd\SDSSJ015608.18+010915.7_15013-59221-0161_4401498503.dat,WDA,110,0
cb_uvex2\SDSSJ233525.02-004517.6_15033-59164-0230_4371142913.dat,WDA,111,0
wd\SDSSJ042552.69+370630.0_15223-59265-0049_4515623097.dat,WDA,112,0
cb_uvex2\SDSSJ133712.45+402159.4_15299-59293-0141_4602962213.dat,WDA,115,0
wd\SDSSJ010327.76+850441.1_15350-59329-0350_4326204913.dat,WDA,116,0
wd\SDSSJ012352.79+143723.0_15010-59199-0393_4401099219.dat,WDA,119,0
wd\SDSSJ001043.54+253829.2_15004-59217-0333_4400717432.dat,WDA,120,0
wd\SDSSJ065502.11-051635.4_15282-59275-0192_4471950390.dat,WDA,121,0
cb_uvex2\SDSSJ122803.31+632823.0_15239-59264-0182_4349872157.dat,WDA,124,0
cb_uvex2\SDSSJ020457.63-013101.6_15045-59169-0403_4375888809.dat,WDA,127,0
wd\SDSSJ004003.83+263002.3_15006-59227-0207_4403046484.dat,WDA,129,0
wd\SDSSJ071728.84-234737.2_15116-59220-0342_4457596572.dat,WDA,130,0
wd\SDSSJ164509.38+350457.9_15310-59352-0211_5189679062.dat,WDA,131,0
cb_uvex2\SDSSJ012108.56-011726.9_15009-59164-0325_4375037540.dat,WDA,133,0
wd\SDSSJ084443.14+042102.9_15258-59291-0152_4545113979.dat,WDA,134,0
wd\SDSSJ163840.73+385459.5_15309-59354-0312_5191722250.dat,WDA,135,0
wd\SDSSJ085308.97-001605.4_15164-59200-0492_4492112403.dat,WDA,138,0
wd\SDSSJ061432.19+215516.3_15113-59190-0431_4538541349.dat,WDA,140,0
wd\SDSSJ164351.26+715534.9_15369-59335-0218_4347298754.dat,WDA,142,0
wd\SDSSJ144200.46+041224.5_15306-59347-0073_4600823320.dat,WDA,143,0
cb_uvex2\SDSSJ085526.60-012454.9_15166-59251-0339_4492097062.dat,WDA,144,0
wd\SDSSJ150047.13+570016.4_15307-59290-0211_4349137183.dat,WDA,145,0
wd\SDSSJ185019.95+372724.5_15332-59305-0163_5368041970.dat,WDA,147,0
wd\SDSSJ143451.46+041734.1_15306-59289-0215_4600796244.dat,WDA,149,0
wd\SDSSJ032422.25+512423.7_15221-59245-0265_4306877974.dat,WDA,152,0
cb_uvex2\SDSSJ182920.49+272633.8_15331-59328-0325_5343162873.dat,WDA,155,0
wd\SDSSJ053026.85+351540.7_15112-59238-0185_4514055327.dat,WDA,156,0
wd\SDSSJ175121.91+004101.0_15345-59327-0351_5177421944.dat,WDA,157,0
wd\SDSSJ023633.76-001012.7_15014-59191-0426_4376162108.dat,WDA,161,0
wd\SDSSJ133533.82+151154.5_15298-59310-0286_4599921674.dat,WDA,165,0
cb_uvex2\SDSSJ003328.71-001610.1_15005-59167-0407_4374638477.dat,WDA,168,0
wd\SDSSJ073918.85+155035.0_15073-59186-0129_4542158178.dat,WDA,170,0
wd\SDSSJ122501.12+290356.7_15249-59265-0279_4601890095.dat,WDA,171,0
cb_uvex2\SDSSJ013803.37+001603.2_15012-59166-0206_4399905882.dat,WDA,172,0
wd\SDSSJ185522.53+361033.4_15332-59305-0317_5367961273.dat,WDA,173,0
wd\SDSSJ093001.63-015626.6_15267-59308-0128_4570519715.dat,WDA,174,0
cb_uvex2\SDSSJ131554.29+473923.0_15296-59317-0404_4351712138.dat,WDA,175,0
wd\SDSSJ112311.08+425830.5_15234-59280-0190_4597888818.dat,WDA,176,0
wd\SDSSJ091616.66+001356.2_15170-59292-0090_4592612138.dat,WDA,177,0
wd\SDSSJ073307.88+364922.4_15190-59267-0242_4553825196.dat,WDA,179,0
cb_uvex2\SDSSJ113211.22+280656.2_15293-59312-0206_4597302674.dat,WDA,180,0
wd\SDSSJ073543.99+301516.4_15016-59276-0224_4551539592.dat,WDA,186,0
wd\SDSSJ161750.41+865542.3_15273-59360-0124_4348119570.dat,WDA,188,0
