filename,classID,sample_idx,cluster
cb_uvex2\SDSSJ001056.26+264416.6_15004-59165-0099_4402834498.dat,WDA,30,-1
wd\SDSSJ134213.13+141113.6_15298-59310-0011_4599915562.dat,WDA,36,-1
wd\SDSSJ092838.11+035839.3_15266-59306-0075_4592708135.dat,WDA,44,-1
cb_uvex2\SDSSJ111933.88+111200.6_15129-59278-0443_4594995953.dat,WDA,69,-1
cb_uvex2\SDSSJ135605.92+542358.4_15302-59315-0348_4351150455.dat,WDA,74,-1
wd\SDSSJ162611.44+665858.5_15368-59359-0349_4347422830.dat,WDA,78,-1
cb_uvex2\SDSSJ084519.60+012525.6_15143-59205-0153_4545141281.dat,WDA,81,-1
wd\SDSSJ063208.26-042131.7_15279-59302-0034_4471425336.dat,WDA,88,-1
wd\SDSSJ212624.32-012450.8_15027-59159-0420_4367776213.dat,WDA,107,-1
cb_uvex2\SDSSJ163113.46+444223.6_15308-59312-0441_4346120106.dat,WDA,108,-1
wd\SDSSJ024357.43+712950.8_15074-59189-0029_4317561724.dat,WDA,118,-1
wd\SDSSJ134520.12+505632.5_15300-59351-0300_4351201052.dat,WDA,136,-1
wd\SDSSJ164351.26+715534.9_15369-59335-0218_4347298754.dat,WDA,142,-1
cb_uvex2\SDSSJ133439.94+130457.4_15298-59292-0381_4599902810.dat,WDA,146,-1
wd\SDSSJ074321.68+200828.1_15195-59238-0061_4543097596.dat,WDA,150,-1
cb_uvex2\SDSSJ093342.20+015346.3_15269-59318-0302_4592932167.dat,WDA,151,-1
wd\SDSSJ073336.67+175354.9_15073-59186-0468_4542131831.dat,WDA,158,-1
wd\SDSSJ132024.11-124341.6_15199-59279-0196_4588980482.dat,WDA,162,-1
wd\SDSSJ071656.00-241200.4_15116-59212-0219_4457344469.dat,WDA,167,-1
cb_uvex2\SDSSJ013803.37+001603.2_15012-59166-0206_4399905882.dat,WDA,172,-1
wd\SDSSJ185522.53+361033.4_15332-59305-0317_5367961273.dat,WDA,173,-1
cb_uvex2\SDSSJ131554.29+473923.0_15296-59317-0404_4351712138.dat,WDA,175,-1
wd\SDSSJ150417.07+553439.1_15307-59344-0471_4349140341.dat,WDA,185,-1
wd\SDSSJ062654.27+160130.5_15228-59269-0185_4535616180.dat,WDA,189,-1
wd\SDSSJ093724.98+015304.5_15269-59318-0096_4592938937.dat,WDA,192,-1
wd\SDSSJ073627.04+180559.6_15073-59186-0451_4542210779.dat,WDA,196,-1
wd\SDSSJ000122.99+585820.7_15076-59207-0181_4293356378.dat,WDA,243,-1
cb_uvex2\SDSSJ051005.76+492323.9_15121-59206-0469_4342025874.dat,WDA,254,-1
cb_uvex2\SDSSJ122056.49+494017.4_15237-59338-0370_4351932778.dat,WDA,301,-1
cb_uvex2\SDSSJ131952.49-130138.8_15199-59250-0159_4588978776.dat,WDA,314,-1
wd\SDSSJ045727.94+231450.4_15072-59186-0229_4500648973.dat,WDA,319,-1
cb_uvex2\SDSSJ080222.76+344909.9_15022-59165-0316_4555225284.dat,WDA,342,-1
wd\SDSSJ145754.16+315225.4_15271-59327-0492_4603858311.dat,WDA,365,-1
cb_uvex2\SDSSJ121712.99+205839.7_15295-59352-0067_4599536181.dat,WDA,368,-1
wd\SDSSJ075516.05+372416.6_15020-59200-0159_4555263588.dat,WDA,408,-1
cb_uvex2\SDSSJ151933.04+570718.8_15307-59290-0008_4349081302.dat,WDA,410,-1
cb_uvex2\SDSSJ113539.28+234404.6_15294-59314-0298_4595984450.dat,WDA,413,-1
wd\SDSSJ152042.96+872532.2_15273-59308-0266_4348127112.dat,WDA,421,-1
cb_uvex2\SDSSJ074505.47+302730.5_15016-59276-0018_4551564985.dat,WDA,422,-1
wd\SDSSJ062448.49+000443.3_15139-59205-0271_4522182525.dat,WDA,432,-1
wd\SDSSJ134526.92-050201.6_15200-59246-0168_4589588465.dat,WDA,433,-1
wd\SDSSJ175102.23-001045.6_15345-59327-0139_4879853786.dat,WDA,446,-1
wd\SDSSJ023815.09+612134.2_15218-59245-0166_4319432501.dat,WDA,456,-1
cb_uvex2\SDSSJ114035.48+591328.9_15235-59254-0012_4359633007.dat,WDA,460,-1
wd\SDSSJ072719.51-083359.5_15231-59270-0236_4477091512.dat,WDA,491,-1
wd\SDSSJ074244.78-114927.0_15232-59265-0058_4476682247.dat,WDA,492,-1
wd\SDSSJ171958.28-135033.6_15341-59355-0020_4834695367.dat,WDA,495,-1
wd\SDSSJ050128.09+223322.8_15072-59186-0096_4500474786.dat,WDA,510,-1
wd\SDSSJ112820.20+252941.4_15294-59291-0491_4595923691.dat,WDA,528,-1
wd\SDSSJ051727.71-051523.6_15110-59215-0463_4416877560.dat,WDA,539,-1
cb_uvex2\SDSSJ042120.77+360000.4_15223-59265-0491_4515424489.dat,WDA,540,-1
cb_uvex2\SDSSJ074029.11+362936.0_15127-59190-0314_4553865336.dat,WDA,546,-1
cb_uvex4\SDSSJ092609.70-003134.2_15267-59308-0436_4570528834.dat,WDA,551,-1
wd\SDSSJ043149.99+355207.3_15223-59265-0269_4515480061.dat,WDA,564,-1
cb_uvex2\SDSSJ074940.46+305801.1_15018-59280-0299_4554607366.dat,WDA,568,-1
wd\SDSSJ040513.18+502946.6_15107-59212-0494_4332141623.dat,WDA,569,-1
wd\SDSSJ234731.59+845248.5_15350-59329-0500_4286691353.dat,WDA,576,-1
wd\SDSSJ143334.13+871627.8_15273-59329-0444_4348169855.dat,WDA,586,-1
wd\SDSSJ074443.85+372515.0_15017-59147-0293_4553887391.dat,WDA,587,-1
cb_uvex2\SDSSJ082753.83+282426.5_15058-59195-0278_4555033898.dat,WDA,588,-1
wd\SDSSJ051617.16+473618.7_15121-59206-0164_4342720371.dat,WDA,600,-1
cb_uvex2\SDSSJ085052.21+034443.8_15258-59291-0031_4545212787.dat,WDA,611,-1
wd\SDSSJ121520.33+195438.8_15295-59318-0336_4599361949.dat,WDA,618,-1
wd\SDSSJ121517.67+194144.2_15295-59352-0333_4599359203.dat,WDA,619,-1
cb_uvex2\SDSSJ122228.27+494141.1_15237-59338-0330_4351932048.dat,WDA,624,-1
wd\SDSSJ000247.39+260817.4_15004-59191-0239_4400709236.dat,WDA,630,-1
wd\SDSSJ081623.07+370919.9_15055-59230-0006_4555499700.dat,WDA,635,-1
cb_uvex2\SDSSJ161607.81+632601.8_15347-59301-0453_4347466477.dat,WDA,652,-1
cb_uvex2\SDSSJ013124.96+013334.6_15011-59203-0092_4399887533.dat,WDA,658,-1
wd\SDSSJ081726.29+254736.7_15053-59230-0447_4554526059.dat,WDA,668,-1
cb_uvex2\SDSSJ134454.43-064713.3_15200-59305-0241_4589320996.dat,WDA,669,-1
