filename,classID,sample_idx,cluster
cb_uvex2\SDSSJ111933.88+111200.6_15129-59278-0443_4594995953.dat,WDA,69,1
cb_uvex2\SDSSJ093342.20+015346.3_15269-59318-0302_4592932167.dat,WDA,151,1
wd\SDSSJ150417.07+553439.1_15307-59344-0471_4349140341.dat,WDA,185,1
wd\SDSSJ073627.04+180559.6_15073-59186-0451_4542210779.dat,WDA,196,1
wd\SDSSJ000122.99+585820.7_15076-59207-0181_4293356378.dat,WDA,243,1
wd\SDSSJ074244.78-114927.0_15232-59265-0058_4476682247.dat,WDA,492,1
wd\SDSSJ160629.50+530447.1_15330-59344-0492_4346413277.dat,WDA,695,1
wd\SDSSJ180436.62+125407.2_15346-59307-0435_5208895759.dat,WDA,706,1
wd\SDSSJ013822.45+842112.8_15194-59243-0246_4326226363.dat,WDA,782,1
cb_uvex2\SDSSJ212827.49-004223.9_15027-59159-0317_4367810485.dat,WDA,1039,1
