filename,classID,sample_idx,cluster
wd\SDSSJ134034.45+141450.6_15298-59292-0293_4599915084.dat,WDA,1,-1
wd\SDSSJ015900.43-015221.4_15045-59169-0129_4375873228.dat,WDA,2,-1
wd\SDSSJ064446.03-002624.1_15281-59325-0423_4473205536.dat,WDA,3,-1
wd\SDSSJ090610.60+012223.9_15155-59256-0426_4592524243.dat,WDA,6,-1
wd\SDSSJ160128.13+284504.3_15274-59304-0345_5188198971.dat,WDA,7,-1
wd\SDSSJ085122.29+010714.7_15146-59206-0141_4545140142.dat,WDA,8,-1
wd\SDSSJ130509.47+573102.1_15198-59269-0347_4351321133.dat,WDA,10,-1
wd\SDSSJ174142.16-002154.9_15343-59326-0180_4879042847.dat,WDA,11,-1
cb_uvex2\SDSSJ163210.78+385434.8_15309-59350-0426_5191563664.dat,WDA,12,-1
wd\SDSSJ180237.76+134514.0_15346-59300-0490_5208937339.dat,WDA,14,-1
cb_uvex2\SDSSJ134820.20+273220.4_15301-59314-0216_4603038886.dat,WDA,15,-1
cb_uvex2\SDSSJ083255.51+045210.6_15256-59280-0017_4545065219.dat,WDA,16,-1
cb_uvex2\SDSSJ075300.20+363442.3_15020-59200-0197_4555246446.dat,WDA,18,-1
wd\SDSSJ063124.64+040446.9_15114-59191-0421_4524678622.dat,WDA,19,-1
wd\SDSSJ090649.80+523410.8_15174-59252-0044_4360787815.dat,WDA,21,-1
cb_uvex2\SDSSJ073953.16+204900.4_15195-59271-0233_4543082265.dat,WDA,22,-1
cb_uvex2\SDSSJ122228.27+494141.1_15237-59256-0328_4351932048.dat,WDA,23,-1
wd\SDSSJ063142.04+020053.8_15115-59210-0436_4523805091.dat,WDA,24,-1
wd\SDSSJ115115.61+560015.6_15236-59351-0481_4359791692.dat,WDA,26,-1
wd\SDSSJ020321.29-025749.1_15045-59169-0300_4375875479.dat,WDA,27,-1
cb_uvex2\SDSSJ134907.51+013624.5_15201-59306-0337_4600219782.dat,WDA,28,-1
wd\SDSSJ073022.22+232852.0_15285-59276-0034_4543197670.dat,WDA,29,-1
cb_uvex2\SDSSJ001056.26+264416.6_15004-59165-0099_4402834498.dat,WDA,30,-1
cb_uvex2\SDSSJ172932.96-134814.9_15341-59355-0077_4865282580.dat,WDA,31,-1
wd\SDSSJ111915.14+101833.8_15129-59217-0173_4594950266.dat,WDA,32,-1
wd\SDSSJ081537.27+213919.1_15054-59232-0406_4546471574.dat,WDA,33,-1
wd\SDSSJ072239.95+235343.2_15285-59304-0071_4543171248.dat,WDA,34,-1
cb_uvex2\SDSSJ075446.64+364933.1_15020-59223-0183_4555259730.dat,WDA,35,-1
wd\SDSSJ134213.13+141113.6_15298-59310-0011_4599915562.dat,WDA,36,-1
wd\SDSSJ160534.09+275114.7_15274-59304-0150_5188074799.dat,WDA,37,-1
cb_uvex2\SDSSJ004420.04+002125.6_15007-59187-0092_4399312093.dat,WDA,39,-1
wd\SDSSJ113814.45+591722.2_15235-59254-0008_4359633361.dat,WDA,43,-1
wd\SDSSJ092838.11+035839.3_15266-59306-0075_4592708135.dat,WDA,44,-1
