filename,classID,sample_idx,cluster
wd\SDSSJ134034.45+141450.6_15298-59292-0293_4599915084.dat,WDA,1,1
wd\SDSSJ064446.03-002624.1_15281-59325-0423_4473205536.dat,WDA,3,1
wd\SDSSJ015939.33-030053.3_15045-59202-0436_4375869220.dat,WDA,4,1
wd\SDSSJ090610.60+012223.9_15155-59256-0426_4592524243.dat,WDA,6,1
wd\SDSSJ113752.30+245147.5_15294-59343-0035_4595988869.dat,WDA,13,1
wd\SDSSJ063124.64+040446.9_15114-59191-0421_4524678622.dat,WDA,19,1
wd\SDSSJ063142.04+020053.8_15115-59210-0436_4523805091.dat,WDA,24,1
wd\SDSSJ080409.90+355657.5_15022-59231-0450_4555285533.dat,WDA,25,1
wd\SDSSJ084326.92+000219.2_15164-59200-0049_4544989307.dat,WDA,40,1
wd\SDSSJ075656.65+295554.0_15019-59164-0022_4554613406.dat,WDA,41,1
wd\SDSSJ055046.53+261219.9_15083-59218-0181_4505418921.dat,WDA,46,1
wd\SDSSJ015142.82+011102.1_15013-59197-0041_4401491976.dat,WDA,52,1
wd\SDSSJ061822.82+105548.4_15101-59192-0130_4527364817.dat,WDA,89,1
wd\SDSSJ045517.90+264853.0_15120-59210-0071_4509134406.dat,WDA,91,1
wd\SDSSJ113306.34+570357.3_15235-59254-0327_4359802113.dat,WDA,95,1
wd\SDSSJ040420.43+502459.6_15107-59212-0486_4332136904.dat,WDA,96,1
wd\SDSSJ023054.08+593702.1_15218-59245-0413_4318485461.dat,WDA,99,1
wd\SDSSJ074405.76+384258.8_15017-59250-0152_4554152054.dat,WDA,122,1
wd\SDSSJ175353.62+000850.2_15345-59327-0075_5177531947.dat,WDA,123,1
wd\SDSSJ142947.63+075408.1_15202-59309-0384_4600957512.dat,WDA,126,1
wd\SDSSJ223433.65+405549.7_15082-59215-0342_4397103657.dat,WDA,137,1
wd\SDSSJ091903.20+021837.5_15264-59310-0374_4592632456.dat,WDA,139,1
cb_uvex2\SDSSJ133439.94+130457.4_15298-59292-0381_4599902810.dat,WDA,146,1
wd\SDSSJ113652.31+591458.4_15235-59315-0214_4359633530.dat,WDA,153,1
wd\SDSSJ130757.35+572720.3_15198-59273-0216_4351320799.dat,WDA,159,1
wd\SDSSJ061804.03+271001.1_15085-59216-0050_4547383102.dat,WDA,164,1
wd\SDSSJ165705.14+860044.3_15273-59360-0015_4348062936.dat,WDA,182,1
wd\SDSSJ074311.68+311438.1_15018-59221-0116_4551587430.dat,WDA,187,1
wd\SDSSJ062654.27+160130.5_15228-59269-0185_4535616180.dat,WDA,189,1
wd\SDSSJ091203.97+033629.7_15263-59309-0442_4592595094.dat,WDA,199,1
wd\SDSSJ024449.27-002737.6_15015-59166-0098_4376207291.dat,WDA,200,1
wd\SDSSJ052012.44+474230.5_15121-59212-0282_4342746122.dat,WDA,204,1
wd\SDSSJ134034.45+141450.6_15298-59292-0293_4599915084.dat,WDA,210,1
wd\SDSSJ120614.24+571058.6_15236-59351-0275_4351540397.dat,WDA,214,1
wd\SDSSJ051352.32-052252.3_15102-59210-0307_4416835975.dat,WDA,225,1
wd\SDSSJ055651.19+272950.0_15083-59218-0453_4512209015.dat,WDA,235,1
wd\SDSSJ112241.94+442853.8_15234-59309-0012_4597896768.dat,WDA,242,1
wd\SDSSJ051630.77+501639.7_15121-59212-0250_4342047241.dat,WDA,245,1
wd\SDSSJ044220.46+454309.2_15224-59238-0147_4337529082.dat,WDA,246,1
wd\SDSSJ014202.16+002458.4_15012-59166-0447_4399911982.dat,WDA,249,1
cb_uvex2\SDSSJ051005.76+492323.9_15121-59206-0469_4342025874.dat,WDA,254,1
wd\SDSSJ225847.55+185153.3_15028-59197-0310_4383231629.dat,WDA,271,1
wd\SDSSJ171407.85+722825.2_15369-59335-0272_4347262422.dat,WDA,285,1
wd\SDSSJ074151.18+291616.8_15016-59276-0304_4551112944.dat,WDA,312,1
wd\SDSSJ113233.92+232857.0_15294-59314-0369_4595982692.dat,WDA,328,1
cb_uvex2\SDSSJ160647.87+520707.4_15330-59324-0468_4346414434.dat,WDA,355,1
wd\SDSSJ052155.35-033608.2_15110-59215-0089_4416987500.dat,WDA,356,1
wd\SDSSJ065256.38+002125.3_15281-59273-0010_4524245996.dat,WDA,358,1
wd\SDSSJ022635.71+531712.1_15217-59238-0270_4302007619.dat,WDA,360,1
wd\SDSSJ140356.96+623416.1_15303-59340-0207_4349284271.dat,WDA,364,1
wd\SDSSJ081310.96+392250.5_15026-59169-0045_4555536134.dat,WDA,366,1
wd\SDSSJ071449.94-241557.9_15116-59218-0471_4457222074.dat,WDA,367,1
wd\SDSSJ031140.37+525759.9_15221-59245-0010_4306646950.dat,WDA,372,1
wd\SDSSJ081705.69+252449.7_15053-59230-0450_4554522668.dat,WDA,386,1
wd\SDSSJ073142.30-070348.8_15231-59270-0362_4477481995.dat,WDA,392,1
wd\SDSSJ052924.32-012835.3_15075-59216-0363_4417260718.dat,WDA,393,1
wd\SDSSJ055143.69+262342.7_15083-59218-0197_4505424064.dat,WDA,406,1
wd\SDSSJ075516.05+372416.6_15020-59200-0159_4555263588.dat,WDA,408,1
wd\SDSSJ112309.89+584406.6_15235-59315-0025_4359665011.dat,WDA,417,1
wd\SDSSJ062448.49+000443.3_15139-59205-0271_4522182525.dat,WDA,432,1
wd\SDSSJ134526.92-050201.6_15200-59246-0168_4589588465.dat,WDA,433,1
wd\SDSSJ071449.94-241557.9_15116-59218-0471_4457222074.dat,WDA,440,1
wd\SDSSJ012342.63+002010.2_15011-59203-0475_4399875195.dat,WDA,443,1
wd\SDSSJ085252.81+514246.3_15174-59232-0440_4360809422.dat,WDA,449,1
wd\SDSSJ140356.96+623416.1_15303-59340-0207_4349284271.dat,WDA,465,1
wd\SDSSJ001046.52+582805.4_15078-59188-0350_4293337513.dat,WDA,472,1
wd\SDSSJ091047.40+025817.2_15263-59309-0482_4592586735.dat,WDA,474,1
wd\SDSSJ023124.78+590035.8_15218-59245-0402_4318375751.dat,WDA,494,1
wd\SDSSJ091203.97+033629.7_15262-59308-0340_4592595094.dat,WDA,516,1
wd\SDSSJ013518.27-000814.0_15012-59220-0074_4375144112.dat,WDA,525,1
wd\SDSSJ112820.20+252941.4_15294-59291-0491_4595923691.dat,WDA,528,1
cb_uvex2\SDSSJ042120.77+360000.4_15223-59265-0491_4515424489.dat,WDA,540,1
wd\SDSSJ064625.23+002715.4_15281-59273-0235_4524095337.dat,WDA,550,1
wd\SDSSJ040513.18+502946.6_15107-59212-0494_4332141623.dat,WDA,569,1
wd\SDSSJ052625.03-041255.0_15110-59215-0191_4417009028.dat,WDA,571,1
wd\SDSSJ075518.48+290421.8_15019-59199-0035_4554591207.dat,WDA,573,1
wd\SDSSJ235602.65-000041.4_15035-59190-0398_4371194771.dat,WDA,591,1
wd\SDSSJ061822.82+105548.4_15101-59192-0130_4527364817.dat,WDA,595,1
wd\SDSSJ084445.42+024852.4_15146-59226-0482_4545194990.dat,WDA,612,1
wd\SDSSJ093234.64+012402.1_15269-59280-0427_4592920928.dat,WDA,616,1
wd\SDSSJ063737.71+053210.7_15114-59208-0038_4525011192.dat,WDA,617,1
wd\SDSSJ080409.90+355657.5_15022-59165-0195_4555285533.dat,WDA,628,1
wd\SDSSJ065256.38+002125.3_15281-59325-0260_4524245996.dat,WDA,629,1
wd\SDSSJ174703.54+002608.1_15345-59327-0474_5177332777.dat,WDA,639,1
wd\SDSSJ081449.16+204943.8_15052-59229-0150_4546452116.dat,WDA,655,1
wd\SDSSJ052508.11-081834.9_15111-59218-0425_4416226265.dat,WDA,670,1
wd\SDSSJ041101.59+505913.4_15107-59212-0383_4334165138.dat,WDA,681,1
wd\SDSSJ112949.74+572315.4_15235-59346-0420_4359801019.dat,WDA,690,1
wd\SDSSJ073748.56+381953.4_15017-59195-0492_4553882711.dat,WDA,719,1
wd\SDSSJ131751.54-125709.0_15199-59247-0232_4588976349.dat,WDA,720,1
wd\SDSSJ075014.67+301011.0_15019-59252-0115_4554586007.dat,WDA,728,1
wd\SDSSJ083949.96+362509.0_15062-59227-0271_4555729695.dat,WDA,735,1
cb_uvex2\SDSSJ135434.61+031318.5_15201-59279-0060_4600281857.dat,WDA,736,1
wd\SDSSJ080356.81+342133.0_15022-59252-0055_4555229174.dat,WDA,738,1
wd\SDSSJ075516.05+372416.6_15020-59284-0383_4555263588.dat,WDA,759,1
wd\SDSSJ223654.73+642619.8_15081-59210-0395_4276676645.dat,WDA,766,1
wd\SDSSJ132726.90-134237.1_15199-59279-0019_4587936471.dat,WDA,773,1
wd\SDSSJ015939.33-030053.3_15045-59169-0002_4375869220.dat,WDA,780,1
wd\SDSSJ152112.87+561609.9_15307-59290-0289_4346728303.dat,WDA,783,1
wd\SDSSJ085252.81+514246.3_15174-59252-0422_4360809422.dat,WDA,795,1
wd\SDSSJ073447.03+175650.5_15073-59186-0497_4542207877.dat,WDA,797,1
wd\SDSSJ063336.68+034721.3_15114-59191-0383_4524683749.dat,WDA,808,1
wd\SDSSJ064319.88+004516.0_15281-59273-0496_4524061904.dat,WDA,810,1
wd\SDSSJ015142.82+011102.1_15013-59165-0165_4401491976.dat,WDA,814,1
cb_uvex2\SDSSJ051638.66+495209.7_15121-59206-0372_4342051485.dat,WDA,828,1
wd\SDSSJ120614.24+571058.6_15236-59290-0039_4351540397.dat,WDA,838,1
wd\SDSSJ151913.81+555419.8_15307-59290-0242_4346728041.dat,WDA,840,1
wd\SDSSJ075305.31+365108.6_15020-59248-0225_4555257353.dat,WDA,844,1
wd\SDSSJ063442.29+034302.5_15115-59219-0179_4524685750.dat,WDA,847,1
wd\SDSSJ103923.55+354933.1_15291-59350-0424_4597575549.dat,WDA,853,1
wd\SDSSJ061645.16+094222.0_15101-59192-0436_4526577214.dat,WDA,856,1
wd\SDSSJ165141.43+350912.7_15310-59352-0085_5189719129.dat,WDA,865,1
wd\SDSSJ113333.54+283225.2_15292-59339-0289_4597305359.dat,WDA,884,1
wd\SDSSJ073819.57+282126.9_15016-59276-0403_4551070533.dat,WDA,892,1
wd\SDSSJ072730.64+225101.4_15285-59276-0136_4543140096.dat,WDA,894,1
wd\SDSSJ055143.69+262342.7_15083-59218-0197_4505424064.dat,WDA,896,1
wd\SDSSJ001627.90+595926.8_15078-59188-0014_4293758135.dat,WDA,898,1
wd\SDSSJ045931.93+231752.7_15072-59216-0452_4500651994.dat,WDA,912,1
wd\SDSSJ012840.82+135406.0_15010-59199-0288_4401104895.dat,WDA,926,1
wd\SDSSJ074837.32+384122.7_15017-59163-0014_4555387139.dat,WDA,929,1
wd\SDSSJ113118.08+262117.9_15293-59312-0342_4595927220.dat,WDA,933,1
wd\SDSSJ060144.66+232451.5_15077-59189-0041_4538330883.dat,WDA,941,1
wd\SDSSJ075832.56+370946.1_15020-59200-0070_4555282818.dat,WDA,943,1
wd\SDSSJ012840.82+135406.0_15010-59199-0288_4401104895.dat,WDA,949,1
wd\SDSSJ230118.52+190745.2_15028-59197-0266_4383235950.dat,WDA,963,1
wd\SDSSJ020039.09-011626.7_15045-59202-0100_4375883679.dat,WDA,967,1
wd\SDSSJ022743.64+604038.2_15218-59245-0080_4318459883.dat,WDA,979,1
wd\SDSSJ073819.57+282126.9_15016-59276-0403_4551070533.dat,WDA,998,1
wd\SDSSJ093158.74+025528.8_15269-59280-0065_4592705869.dat,WDA,1006,1
wd\SDSSJ112851.71+261155.1_15293-59293-0333_4595926780.dat,WDA,1008,1
wd\SDSSJ121027.32+202436.6_15295-59294-0430_4599339869.dat,WDA,1013,1
wd\SDSSJ151848.80+564036.2_15307-59344-0035_4346728741.dat,WDA,1016,1
wd\SDSSJ020315.99-025725.9_15045-59202-0333_4375875473.dat,WDA,1025,1
wd\SDSSJ230118.52+190745.2_15028-59197-0266_4383235950.dat,WDA,1034,1
cb_gaiagalex\SDSSJ051517.16+493142.2_15121-59212-0214_4342058247.dat,WDA,1042,1
wd\SDSSJ075516.05+372416.6_15020-59200-0159_4555263588.dat,WDA,1045,1
wd\SDSSJ132011.41+471221.0_15296-59346-0392_4351701279.dat,WDA,1054,1
wd\SDSSJ134419.68+385017.7_15299-59311-0016_4602959001.dat,WDA,1073,1
wd\SDSSJ062658.20+094030.0_15103-59268-0429_4526771868.dat,WDA,1084,1
wd\SDSSJ080702.39+334614.1_15023-59232-0317_4555227951.dat,WDA,1089,1
