filename,classID
cb_uvex2\SDSSJ074704.99+302755.4_15018-59221-0434_4554598322.dat,WDB
wd\SDSSJ061619.24+224941.4_15113-59190-0116_4538727770.dat,WDB
wd\SDSSJ112009.91+085641.8_15129-59221-0388_4594945476.dat,WDB
wd\SDSSJ001529.74+010521.1_15039-59202-0235_4399148714.dat,WDB
wd\SDSSJ075205.24+300045.2_15019-59164-0102_4554594417.dat,WDB
cb_uvex2\SDSSJ074249.42+370134.3_15190-59267-0065_4553871598.dat,WDB
wd\SDSSJ234709.30+001858.1_15034-59192-0126_4382230501.dat,WDB
wd\SDSSJ090542.42+510455.1_15174-59284-0022_4360832146.dat,WDB
cb_uvex2\SDSSJ003250.52+251540.7_15006-59227-0472_4400892760.dat,WDB
wd\SDSSJ074508.79+311659.3_15018-59197-0147_4551590626.dat,WDB
wd\SDSSJ083606.67+320016.5_15059-59199-0355_4555575203.dat,WDB
wd\SDSSJ081011.14+214540.1_15051-59204-0045_4546457725.dat,WDB
wd\SDSSJ143452.21+091835.3_15202-59309-0044_4601003356.dat,WDB
cb_uvex2\SDSSJ015915.04-030824.9_15045-59169-0072_4375835330.dat,WDB
cb_uvex2\SDSSJ083834.41-003941.3_15254-59276-0249_4491937162.dat,WDB
wd\SDSSJ141621.78+322638.3_15322-59340-0183_4603604796.dat,WDB
wd\SDSSJ143430.62+343616.5_15325-59347-0309_4603863406.dat,WDB
wd\SDSSJ065047.55-052113.7_15282-59293-0070_4471908450.dat,WDB
wd\SDSSJ073552.27+364634.5_15190-59267-0223_4553855281.dat,WDB
wd\SDSSJ112009.91+085641.8_15129-59250-0228_4594945476.dat,WDB
wd\SDSSJ093720.35+014803.6_15269-59340-0354_4592938355.dat,WDB
cb_uvex2\SDSSJ141957.66+361857.3_15305-59283-0216_4603719461.dat,WDB
wd\SDSSJ113348.87+262354.4_15293-59340-0268_4595999865.dat,WDB
wd\SDSSJ080013.11+262702.5_15021-59165-0298_4554397344.dat,WDB
wd\SDSSJ014049.00-010302.8_15012-59191-0336_4375147220.dat,WDB
wd\SDSSJ085551.54+013634.6_15167-59252-0215_4545181446.dat,WDB
wd\SDSSJ062412.49-005033.3_15139-59205-0066_4470976527.dat,WDB
wd\SDSSJ135216.04+040216.1_15201-59328-0105_4600285659.dat,WDB
wd\SDSSJ142446.23+322930.4_15322-59340-0051_4603623624.dat,WDB
cb_uvex2\SDSSJ161810.03+540023.0_15330-59324-0453_4346358739.dat,WDB
cb_uvex2\SDSSJ111716.60+091603.2_15193-59248-0441_4594923273.dat,WDB
wd\SDSSJ074351.30+385615.5_15017-59147-0321_4554153047.dat,WDB
wd\SDSSJ144055.23+025719.9_15306-59289-0307_4600809203.dat,WDB
cb_uvex2\SDSSJ093855.69+023657.0_15269-59340-0496_4592943101.dat,WDB
cb_uvex2\SDSSJ073942.78+194738.9_15195-59238-0284_4543044072.dat,WDB
cb_uvex2\SDSSJ081517.91+233924.5_15053-59230-0283_4554453369.dat,WDB
wd\SDSSJ140730.94+532352.6_15302-59339-0019_4351099374.dat,WDB
wd\SDSSJ180653.34+123557.7_15346-59307-0348_5208890302.dat,WDB
wd\SDSSJ182614.87+251128.8_15331-59328-0164_5268364186.dat,WDB
wd\SDSSJ075535.71+344704.9_15022-59231-0023_4555198055.dat,WDB
