filename,classID
wd\SDSSJ061756.03+421701.0_15197-59245-0420_4552911910.dat,WDB
wd\SDSSJ155809.97+290645.7_15274-59329-0007_5188200527.dat,WDB
wd\SDSSJ185042.38+380424.2_15332-59305-0230_5368068828.dat,WDB
wd\SDSSJ081357.03+250031.3_15053-59230-0340_4554472291.dat,WDB
wd\SDSSJ234326.58-005749.5_15033-59164-0005_4371149798.dat,WDB
wd\SDSSJ083606.67+320016.5_15059-59199-0355_4555575203.dat,WDB
wd\SDSSJ144412.82+035807.7_15306-59315-0030_4600815865.dat,WDB
wd\SDSSJ012809.12+143602.1_15010-59219-0270_4401101239.dat,WDA
wd\SDSSJ054319.27+230245.9_15226-59265-0272_4504454723.dat,WDA
wd\SDSSJ162526.01+653347.2_15368-59359-0122_4347416181.dat,WDA
wd\SDSSJ080435.46+215647.7_15051-59204-0191_4546331842.dat,WDA
cb_uvex2\SDSSJ111716.60+091603.2_15193-59248-0441_4594923273.dat,WDB
wd\SDSSJ061920.37+212814.2_15113-59190-0331_4538555836.dat,WDA
wd\SDSSJ113028.61+301120.8_15292-59339-0083_4597281828.dat,WDB
wd\SDSSJ084916.18+013721.0_15146-59206-0275_4545151958.dat,WDB
wd\SDSSJ063257.80-050549.7_15279-59302-0246_4471355863.dat,WDA
wd\SDSSJ081904.19+354255.6_15055-59230-0424_4555502994.dat,WDB
wd\SDSSJ073307.88+364922.4_15190-59267-0242_4553825196.dat,WDA
wd\SDSSJ075156.09+293446.7_15019-59222-0410_4554592581.dat,WDB
wd\SDSSJ163054.20+434009.2_15308-59351-0298_4346100565.dat,WDB
cb_uvex2\SDSSJ080115.06+371404.0_15020-59200-0005_4555412210.dat,WDB
cb_uvex2\SDSSJ074341.16+163604.9_15192-59302-0266_4542197915.dat,WDB
wd\SDSSJ113440.05+235436.6_15294-59291-0148_4595983961.dat,WDB
wd\SDSSJ142440.78+330439.5_15322-59340-0071_4603625399.dat,WDB
wd\SDSSJ000745.04+572413.4_15078-59188-0367_4291545951.dat,WDA
wd\SDSSJ052657.35-042645.7_15110-59215-0225_4416998305.dat,WDB
wd\SDSSJ061627.13+223851.2_15278-59301-0395_4538699640.dat,WDA
cb_uvex2\SDSSJ142505.18+335948.5_15322-59340-0306_4603646041.dat,WDB
wd\SDSSJ060550.48+230813.7_15077-59189-0172_4538350270.dat,WDA
wd\SDSSJ073022.22+232852.0_15285-59276-0034_4543197670.dat,WDA
cb_uvex2\SDSSJ162039.88+433148.4_15308-59312-0028_4346151967.dat,WDA
cb_uvex2\SDSSJ014024.48-000523.5_15012-59166-0337_4375146251.dat,WDA
wd\SDSSJ085926.99+514437.9_15174-59284-0187_4360794491.dat,WDB
wd\SDSSJ015557.78+004649.2_15013-59165-0377_4401495600.dat,WDA
cb_uvex2\SDSSJ074914.23+301514.3_15019-59281-0157_4554601100.dat,WDB
cb_uvex2\SDSSJ013210.35-001034.1_15011-59203-0295_4375125235.dat,WDA
cb_uvex2\SDSSJ074914.23+301514.3_15019-59222-0176_4554601100.dat,WDB
wd\SDSSJ163944.63+383346.7_15309-59354-0261_5191718549.dat,WDA
cb_uvex2\SDSSJ051005.76+492323.9_15121-59206-0469_4342025874.dat,WDA
wd\SDSSJ072644.88-084927.3_15231-59270-0225_4477069356.dat,WDA
wd\SDSSJ080630.84+271750.8_15024-59254-0124_4554429955.dat,WDB
cb_uvex2\SDSSJ131829.55+462939.8_15296-59346-0456_4351772951.dat,WDB
wd\SDSSJ075516.05+372416.6_15020-59284-0383_4555263588.dat,WDA
cb_uvex2\SDSSJ003328.71-001610.1_15005-59167-0407_4374638477.dat,WDA
wd\SDSSJ081726.29+254736.7_15053-59230-0447_4554526059.dat,WDA
wd\SDSSJ132149.64-124714.8_15199-59279-0154_4588980092.dat,WDA
wd\SDSSJ112638.02+102848.9_15129-59221-0039_4594959060.dat,WDA
cb_uvex2\SDSSJ000205.57+002041.6_15035-59190-0239_4399102145.dat,WDB
wd\SDSSJ111010.93+385700.1_15352-59358-0434_4597762195.dat,WDB
cb_uvex2\SDSSJ233525.02-004517.6_15033-59164-0230_4371142913.dat,WDA
wd\SDSSJ073748.56+381953.4_15017-59220-0100_4553882711.dat,WDA
wd\SDSSJ180653.34+123557.7_15346-59300-0248_5208890302.dat,WDB
cb_uvex2\SDSSJ082026.00+390447.2_15026-59169-0239_4555551542.dat,WDB
wd\SDSSJ121520.33+195438.8_15295-59318-0336_4599361949.dat,WDA
wd\SDSSJ235322.17+002653.9_15035-59190-0026_4382242228.dat,WDB
wd\SDSSJ082233.25+343317.5_15057-59197-0114_4555373798.dat,WDA
wd\SDSSJ074259.75+375120.1_15190-59273-0263_4553889090.dat,WDB
cb_uvex2\SDSSJ121628.73+204506.4_15295-59294-0132_4599535327.dat,WDB
wd\SDSSJ134326.28-045346.8_15200-59305-0354_4589588061.dat,WDA
wd\SDSSJ051747.28+501814.4_15121-59206-0365_4342127317.dat,WDA
cb_uvex2\SDSSJ122421.54+473808.8_15238-59257-0338_4352014246.dat,WDB
wd\SDSSJ163059.27+680050.8_15368-59359-0324_4347529413.dat,WDB
wd\SDSSJ173724.37+053335.0_15342-59328-0238_5178561194.dat,WDA
wd\SDSSJ093806.30+032242.4_15270-59284-0300_4592983242.dat,WDB
cb_uvex2\SDSSJ084355.07+010106.5_15146-59206-0011_4544997225.dat,WDB
wd\SDSSJ075516.05+372416.6_15020-59200-0159_4555263588.dat,WDA
wd\SDSSJ073924.83+374612.8_15017-59195-0229_4553878566.dat,WDB
wd\SDSSJ040420.43+502459.6_15107-59212-0486_4332136904.dat,WDA
wd\SDSSJ123544.43+623414.3_15239-59316-0392_4351337923.dat,WDB
cb_uvex2\SDSSJ074505.47+302730.5_15016-59276-0018_4551564985.dat,WDA
cb_uvex2\SDSSJ135150.63+035718.0_15201-59355-0165_4600279557.dat,WDB
wd\SDSSJ221729.24+000833.3_15029-59169-0184_4381157131.dat,WDB
wd\SDSSJ164240.40+391731.5_15309-59340-0241_5191725122.dat,WDB
wd\SDSSJ160321.71+530521.1_15330-59324-0036_4346421810.dat,WDA
wd\SDSSJ163022.87+671245.7_15368-59359-0302_4347420862.dat,WDA
wd\SDSSJ073842.58+183509.3_15192-59302-0082_4542229601.dat,WDB
wd\SDSSJ113002.79+241021.7_15294-59291-0310_4595912415.dat,WDA
cb_uvex2\SDSSJ084355.07+010106.5_15143-59205-0358_4544997225.dat,WDB
wd\SDSSJ083854.79+005621.5_15255-59279-0284_4544983462.dat,WDB
cb_uvex2\SDSSJ075122.91+371254.6_15020-59284-0460_4555252928.dat,WDB
wd\SDSSJ075453.84+291114.2_15019-59164-0274_4554591460.dat,WDB
wd\SDSSJ160050.11+275235.1_15274-59329-0394_5188049154.dat,WDA
cb_uvex2\SDSSJ121256.97+200353.1_15295-59294-0310_4599340693.dat,WDA
wd\SDSSJ142646.85+091656.7_15202-59309-0213_4600695326.dat,WDA
cb_uvex4\SDSSJ122847.09+484932.7_15238-59257-0012_4351930719.dat,WDB
wd\SDSSJ142425.79+044436.7_15323-59352-0117_4600465839.dat,WDB
cb_uvex2\SDSSJ080330.79+360244.2_15022-59165-0183_4555285384.dat,WDB
cb_uvex2\SDSSJ090952.10+031402.7_15262-59308-0405_4592587154.dat,WDA
wd\SDSSJ124251.79+282811.9_15250-59267-0314_4601972648.dat,WDA
wd\SDSSJ022743.64+604038.2_15218-59245-0080_4318459883.dat,WDA
cb_uvex2\SDSSJ081056.73+252736.1_15053-59230-0178_4554511125.dat,WDA
wd\SDSSJ110623.73+394255.6_15352-59358-0025_4597768042.dat,WDA
